mushroom_id,mushroom_name_ko,mushroom_name_en,mushroom_scientific_name,title,content,embedding
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯의 외형적 특징,"느타리버섯의 갓은 일반적으로 5~15cm 크기이다. 처음에는 반구형이지만 성장하면서 콩팥형, 조개형 또는 깔때기형으로 변한다. 갓의 색은 초기에는 흑색 또는 회청색을 띠며, 이후 흑색, 회색, 회갈색, 회백색 또는 백색 등으로 다양하게 나타난다. 조직은 두껍고 탄력성이 있다.",
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯의 재배 특징,"느타리버섯은 국내에서 재배면적이 큰 버섯 중 하나이다. 볏짚, 폐면, 원목, 톱밥 등을 배지 재료로 이용할 수 있으며 균상재배, 상자재배, 병재배 등 다양한 인공재배 방식이 개발되어 있다",
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯의 일반적인 영양 구성,"느타리버섯은 90% 이상이 수분으로 구성되며 나머지는 단백질, 지방, 무기질 등의 영양성분으로 이루어져 있다. 비타민 B2, 니아신, 비타민 D와 칼륨, 인 등의 성분도 포함되어 있다.",
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯의 건강 효능 관련 자료,"원문에는 느타리버섯의 에르고스테린과 플루란 성분 및 콜레스테롤, 고혈압, 동맥경화, 면역기능, 항암작용 등에 관한 효능이 서술되어 있다. 또한 암 치료 부작용과 각종 질환을 예방하거나 억제한다는 내용도 포함되어 있다. 해당 내용은 의료·건강 관련 주장에 해당하므로 공신력 있는 최신 자료와 연구 원문을 통해 사실관계와 표현 수준을 검증해야 한다.",
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯의 재배 단계와 환경관리 원칙,"느타리버섯의 재배 과정은 균사생장기와 자실체 생육단계로 구분된다. 재배사 내부는 배지 재료와 이산화탄소 농도 등의 조건이 자연환경과 다르기 때문에, 각 생육단계에 적합한 환경을 조성하고 지속적으로 관리하는 것이 중요하다.",
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯 균사생장기의 배지 관리,"느타리버섯의 균사생장기에는 배지의 산도, 온도 및 수분함량 관리가 중요하다. 원문에서는 적정 산도를 pH 7.0~8.8, 적정 온도를 25~30℃로 제시하고 있으나 품종에 따라 차이가 있을 수 있다고 설명한다. 배지 수분은 균사생장에 필요한 요소이므로 지나치게 많거나 적지 않도록 관리해야 한다.",
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯 발생 및 생육 환경,"원문에서는 느타리버섯의 발생 및 생장 최적온도를 13~18℃, 한계온도를 10~26℃로 제시한다. 적정 습도는 버섯의 발생 단계와 생육 단계에 따라 다르므로 단계에 맞게 관리해야 한다. 습도가 65% 이하로 내려가면 버섯 가장자리가 건조해져 상품성이 떨어질 수 있다.",
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯 생육 중 환기 관리,느타리버섯 생육 중 환기가 부족하면 대가 길어지고 갓이 작아질 수 있다. 반대로 환기량이 지나치게 많으면 갓은 커지지만 대가 짧아질 수 있다. 급격한 환기는 피하고 적은 양으로 장시간 꾸준하게 환기하는 것이 좋다.,
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯의 광과 풍속 관리,느타리버섯 생육에 필요한 조도는 원문 기준 100~500Lux이다. 직사광선은 생육에 악영향을 줄 수 있으므로 피해야 한다. 재배사 내부의 풍속이 지나치게 빠르면 버섯 갓이 한쪽으로 뒤집어지거나 나팔형의 기형이 발생할 수 있으므로 풍속 변화를 최소화해야 한다.,
1,느타리버섯,Oyster mushroom,Pleurotus ostreatus,느타리버섯 생식생장기의 관수 관리,느타리버섯의 균사생장기가 끝나고 생식생장기에 들어가면 균상 표면의 상태를 관찰하면서 관수량을 조절해야 한다. 원문에서는 1회 약 600~800mL의 물을 하루 두 차례 공급하는 방식을 제시하고 있으나 실제 관수량과 횟수는 균상 상태와 재배 조건에 따라 조정해야 한다.,
